tempo,key,mode,loudness,time_signature,duration_ms,danceability,acousticness,speechiness,liveness,energy,instrumentalness,valence
175.963,2.0,1.0,-4.341,4.0,158182.0,0.555,0.437,0.227,0.123,0.64,5.25e-05,0.353
94.992,0.0,1.0,-7.811,4.0,202750.0,0.712,0.607,0.0401,0.324,0.64,0.599,0.684
102.003,3.0,0.0,-6.308,4.0,208313.0,0.773,0.553,0.041,0.101,0.499,0.00246,0.597
140.005,6.0,0.0,-13.281,4.0,216793.0,0.881,0.0351,0.0511,0.0648,0.392,6.42e-06,0.692
147.915,0.0,1.0,-4.947,4.0,168562.0,0.628,0.417,0.0352,0.121,0.476,0.0,0.336
187.693,6.0,0.0,-5.321,4.0,183893.0,0.52,0.105,0.11,0.113,0.671,0.00579,0.413
97.977,6.0,1.0,-4.533,4.0,181224.0,0.758,0.0903,0.108,0.0902,0.674,0.0,0.424
112.009,5.0,1.0,-6.925,4.0,154767.0,0.826,0.153,0.0575,0.197,0.562,0.0,0.834
79.981,7.0,0.0,-6.934,4.0,159000.0,0.749,0.884,0.0437,0.134,0.511,0.00013,0.713
150.023,8.0,1.0,-10.028,4.0,179000.0,0.76,0.763,0.0425,0.106,0.404,0.00119,0.665
132.954,1.0,1.0,-7.687,4.0,192065.0,0.569,0.0114,0.172,0.107,0.573,0.0,0.798
113.98,11.0,0.0,-4.392,4.0,235888.0,0.788,0.00416,0.0549,0.0713,0.798,0.016,0.523
141.509,0.0,0.0,-9.31,3.0,195216.0,0.467,0.816,0.078,0.17,0.364,0.0,0.461
125.987,5.0,0.0,-8.544,4.0,152574.0,0.797,0.194,0.232,0.174,0.442,0.000183,0.419
139.951,5.0,1.0,-5.292,4.0,211053.0,0.465,0.542,0.0553,0.243,0.702,1.24e-05,0.356
82.977,6.0,0.0,-11.043,4.0,269243.0,0.623,0.787,0.0307,0.206,0.22,0.0,0.208
80.419,1.0,1.0,-4.308,4.0,161366.0,0.579,0.04,0.0584,0.341,0.714,0.0,0.696
130.005,4.0,0.0,-8.213,3.0,184258.0,0.67,0.638,0.0779,0.0678,0.412,1.75e-05,0.281
140.043,6.0,0.0,-9.459,4.0,139714.0,0.712,0.47,0.0599,0.327,0.516,4.66e-05,0.549
94.06,11.0,1.0,-5.918,4.0,219574.0,0.601,0.157,0.0686,0.231,0.642,0.00284,0.133
88.022,6.0,0.0,-6.173,4.0,170819.0,0.774,0.28,0.0382,0.106,0.603,0.0,0.603
148.445,6.0,1.0,-9.807,4.0,308513.0,0.577,0.633,0.0437,0.114,0.469,9.42e-06,0.31
81.874,5.0,1.0,-9.111,4.0,218049.0,0.614,0.733,0.0429,0.0665,0.449,0.00556,0.601
62.627,7.0,1.0,-9.426,3.0,187027.0,0.431,0.434,0.0325,0.241,0.349,7.02e-05,0.165
90.166,9.0,0.0,-4.194,4.0,141758.0,0.557,0.0349,0.0434,0.0978,0.6,0.0,0.219
144.926,4.0,1.0,-7.848,4.0,150298.0,0.794,0.445,0.0477,0.127,0.454,0.0,0.913
95.486,2.0,0.0,-7.987,4.0,198613.0,0.746,0.133,0.0294,0.193,0.444,0.0063,0.565
119.995,7.0,1.0,-8.354,3.0,212224.0,0.519,0.142,0.0559,0.104,0.387,8.04e-05,0.193
145.816,8.0,1.0,-5.529,4.0,256333.0,0.459,0.75,0.0271,0.136,0.567,0.0,0.156
60.455,11.0,1.0,-9.378,4.0,286240.0,0.4,0.903,0.0334,0.206,0.336,0.0,0.306
80.002,11.0,0.0,-5.419,4.0,241693.0,0.563,0.264,0.0275,0.101,0.609,0.000707,0.427
133.988,4.0,1.0,-9.53,4.0,270640.0,0.563,0.15,0.033,0.161,0.493,1.12e-06,0.24
130.006,4.0,0.0,-6.294,4.0,225941.0,0.64,0.315,0.0323,0.116,0.568,0.0,0.299
115.92,5.0,1.0,-5.784,4.0,250027.0,0.674,0.678,0.0319,0.098,0.584,0.0,0.29
140.011,5.0,1.0,-7.86,4.0,247571.0,0.534,0.611,0.029,0.106,0.36,0.0,0.274
82.004,5.0,1.0,-6.024,4.0,251691.0,0.625,0.0134,0.0268,0.0715,0.527,0.0,0.507
109.961,1.0,0.0,-5.478,4.0,268117.0,0.652,0.664,0.0283,0.368,0.534,0.0,0.26
116.025,6.0,1.0,-7.2,4.0,312747.0,0.724,0.532,0.0385,0.378,0.459,0.0,0.306
135.553,5.0,1.0,-12.823,4.0,308786.0,0.358,0.899,0.0359,0.173,0.351,0.0,0.403
201.701,6.0,1.0,-5.861,3.0,310133.0,0.334,0.672,0.0347,0.101,0.431,0.0,0.212
134.159,9.0,1.0,-13.51,4.0,304261.0,0.532,0.654,0.0295,0.0845,0.352,0.0,0.273
114.038,5.0,1.0,-6.763,4.0,268707.0,0.58,0.435,0.0323,0.364,0.489,0.0,0.287
139.919,3.0,1.0,-7.078,4.0,280507.0,0.509,0.563,0.0329,0.124,0.399,0.0,0.271
98.126,3.0,1.0,-5.11,3.0,263827.0,0.633,0.38,0.0248,0.102,0.517,0.0,0.218
98.01,5.0,0.0,-6.476,4.0,289960.0,0.638,0.0477,0.0244,0.161,0.694,1.26e-05,0.306
149.849,0.0,1.0,-8.432,4.0,280720.0,0.45,0.0976,0.0262,0.107,0.541,0.0,0.244
148.064,4.0,1.0,-6.771,4.0,242840.0,0.573,0.0532,0.0327,0.121,0.598,7.5e-06,0.231
171.925,4.0,1.0,-7.002,4.0,279412.0,0.363,0.0304,0.0351,0.319,0.726,0.0,0.263
155.993,0.0,1.0,-9.343,4.0,299800.0,0.671,0.331,0.0317,0.387,0.362,0.000502,0.347
118.001,1.0,1.0,-5.338,4.0,253560.0,0.753,0.299,0.0289,0.135,0.642,0.0,0.533
117.749,9.0,0.0,-7.964,4.0,256720.0,0.545,0.36,0.0288,0.131,0.45,0.0,0.225
163.983,9.0,1.0,-5.045,4.0,223453.0,0.67,0.303,0.0591,0.0843,0.627,1.27e-06,0.206
134.382,0.0,1.0,-7.19,4.0,277027.0,0.498,0.753,0.0284,0.135,0.442,0.0,0.143
142.171,0.0,0.0,-6.922,4.0,297200.0,0.48,0.386,0.028,0.243,0.585,9.9e-05,0.457
130.807,2.0,1.0,-6.695,4.0,258267.0,0.455,0.605,0.0269,0.104,0.58,0.0,0.19
137.128,7.0,1.0,-7.275,4.0,269747.0,0.543,0.224,0.0242,0.101,0.564,0.000819,0.411
129.978,8.0,1.0,-7.878,4.0,317400.0,0.781,0.453,0.0356,0.322,0.432,4.16e-06,0.499
125.982,4.0,1.0,-6.891,4.0,269760.0,0.725,0.493,0.031,0.165,0.562,2.73e-05,0.51
139.884,9.0,1.0,-8.079,4.0,284973.0,0.579,0.61,0.0272,0.226,0.526,2.19e-06,0.379
143.924,10.0,1.0,-7.853,4.0,334240.0,0.513,0.688,0.0281,0.116,0.409,7.93e-06,0.123
143.944,9.0,1.0,-6.613,4.0,250867.0,0.636,0.676,0.0324,0.104,0.554,0.0,0.533
113.879,11.0,1.0,-7.406,4.0,243442.0,0.664,0.59,0.0328,0.139,0.432,0.0,0.29
120.155,10.0,1.0,-4.612,4.0,261880.0,0.516,0.467,0.0296,0.105,0.643,0.0,0.201
111.941,1.0,1.0,-5.165,4.0,265157.0,0.694,0.312,0.0377,0.106,0.622,0.0,0.456
79.919,10.0,1.0,-5.438,4.0,267099.0,0.539,0.376,0.0252,0.0988,0.506,0.0,0.236
129.959,2.0,1.0,-7.668,4.0,228520.0,0.592,0.828,0.0293,0.198,0.469,0.0,0.558
99.824,5.0,1.0,-9.407,4.0,261933.0,0.619,0.862,0.0294,0.0742,0.335,0.0,0.209
94.031,4.0,1.0,-5.162,4.0,204907.0,0.78,0.584,0.0526,0.161,0.621,0.0,0.574
149.852,9.0,1.0,-5.97,4.0,256831.0,0.549,0.516,0.0256,0.0895,0.588,0.0,0.331
127.902,9.0,1.0,-7.491,4.0,267990.0,0.599,0.791,0.0314,0.0807,0.423,0.0,0.327
99.952,11.0,1.0,-5.28,4.0,281467.0,0.581,0.819,0.0253,0.119,0.442,0.0,0.206
138.029,8.0,1.0,-5.238,4.0,272907.0,0.543,0.332,0.0332,0.125,0.67,0.0,0.361
140.112,2.0,1.0,-6.485,4.0,265867.0,0.462,0.226,0.0262,0.196,0.465,7.7e-06,0.409
